id,logged_at,model_version,symbol,strike,option_type,direction,score,trend,mark,bid,ask,delta,theta,iv,volume,gex_negative,dex_bias,spy_price,surge,out_5m_price,out_5m_pnl,out_5m_correct,out_10m_price,out_10m_pnl,out_10m_correct,out_15m_price,out_15m_pnl,out_15m_correct,out_30m_price,out_30m_pnl,out_30m_correct
26,2026-03-11T16:17:06,v2.0,.SPY260311C672,672.0,Call,Bullish,43.9,Choppy,4.04,3.94,4.14,0.92,-0.11,55.95,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
27,2026-03-11T16:17:06,v2.0,.SPY260311C673,673.0,Call,Bullish,43.2,Choppy,3.065,2.94,3.19,0.89,-0.14,47.66,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
28,2026-03-11T16:17:08,v2.0,.SPY260311P677,677.0,Put,Bearish,45.1,Choppy,0.975,0.9,1.05,1.0,0.0,12.26,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
29,2026-03-11T16:18:07,v2.0,.SPY260311C672,672.0,Call,Bullish,55.4,Choppy,4.04,3.94,4.14,1.0,0.0,40.22,16276.0,1,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
30,2026-03-11T16:18:07,v2.0,.SPY260311C673,673.0,Call,Bullish,54.7,Choppy,3.065,2.94,3.19,0.98,-0.02,30.36,48176.0,1,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
31,2026-03-11T16:18:09,v2.0,.SPY260311P677,677.0,Put,Bearish,58.7,Choppy,0.975,0.9,1.05,0.89,-0.04,14.55,224093.0,1,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
32,2026-03-11T16:18:14,v2.0,.SPY260311P681,681.0,Put,Bearish,54.6,Choppy,4.945,4.84,0.0,0.95,-0.01,51.41,11724.0,1,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
33,2026-03-11T16:19:07,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.04,3.94,4.14,1.0,0.0,40.22,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
34,2026-03-11T16:19:09,v2.0,.SPY260311P677,677.0,Put,Bearish,46.5,Choppy,0.975,0.9,1.05,0.79,-0.13,20.67,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
35,2026-03-11T16:19:14,v2.0,.SPY260311P681,681.0,Put,Bearish,42.2,Choppy,4.945,4.84,0.0,0.92,-0.1,64.17,11724.0,0,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
36,2026-03-11T16:20:07,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.04,3.94,4.14,1.0,0.0,40.22,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
37,2026-03-11T16:20:09,v2.0,.SPY260311P677,677.0,Put,Bearish,46.6,Choppy,0.975,0.9,1.05,0.83,-0.09,18.36,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
38,2026-03-11T16:20:14,v2.0,.SPY260311P681,681.0,Put,Bearish,42.0,Choppy,4.945,4.84,0.0,0.94,-0.07,60.11,11724.0,0,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
39,2026-03-11T16:21:01,v2.0,.SPY260311C673,673.0,Call,Bullish,54.6,Choppy,3.065,2.94,3.19,0.99,-0.01,25.53,48176.0,1,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
40,2026-03-11T16:21:07,v2.0,.SPY260311C672,672.0,Call,Bullish,55.4,Choppy,4.04,3.94,4.14,1.0,0.0,40.22,16276.0,1,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
41,2026-03-11T16:21:09,v2.0,.SPY260311P677,677.0,Put,Bearish,58.6,Choppy,0.975,0.9,1.05,0.91,-0.03,13.53,224093.0,1,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
42,2026-03-11T16:21:15,v2.0,.SPY260311P681,681.0,Put,Bearish,42.0,Choppy,4.945,4.84,0.0,0.94,-0.05,56.97,11724.0,0,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
43,2026-03-11T16:22:01,v2.0,.SPY260311C673,673.0,Call,Bullish,47.3,Choppy,3.065,2.94,3.19,0.96,-0.03,33.14,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
44,2026-03-11T16:22:07,v2.0,.SPY260311C672,672.0,Call,Bullish,55.4,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,1,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
45,2026-03-11T16:22:09,v2.0,.SPY260311P677,677.0,Put,Bearish,58.7,Choppy,0.975,0.9,1.05,0.91,-0.03,13.53,224093.0,1,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
46,2026-03-11T16:23:01,v2.0,.SPY260311C673,673.0,Call,Bullish,42.9,Choppy,3.065,2.94,3.19,0.93,-0.07,40.09,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
47,2026-03-11T16:23:07,v2.0,.SPY260311C672,672.0,Call,Bullish,43.5,Choppy,4.04,3.94,4.14,0.96,-0.04,45.37,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
48,2026-03-11T16:23:10,v2.0,.SPY260311P677,677.0,Put,Bearish,45.1,Choppy,0.975,0.9,1.05,1.0,0.0,12.26,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
49,2026-03-11T16:24:01,v2.0,.SPY260311C673,673.0,Call,Bullish,44.9,Choppy,3.065,2.94,3.19,1.0,0.0,33.14,48176.0,1,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
50,2026-03-11T16:24:03,v2.0,.SPY260311P681,681.0,Put,Bearish,54.5,Choppy,4.945,4.84,0.0,0.95,-0.01,51.41,11724.0,1,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
51,2026-03-11T16:24:08,v2.0,.SPY260311C672,672.0,Call,Bullish,55.4,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,1,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
52,2026-03-11T16:24:10,v2.0,.SPY260311P677,677.0,Put,Bearish,48.6,Choppy,0.975,0.9,1.05,0.93,-0.02,12.26,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
53,2026-03-11T16:25:02,v2.0,.SPY260311C673,673.0,Call,Bullish,42.8,Choppy,3.065,2.94,3.19,0.94,-0.05,37.16,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
54,2026-03-11T16:25:08,v2.0,.SPY260311C672,672.0,Call,Bullish,45.4,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
55,2026-03-11T16:25:10,v2.0,.SPY260311P677,677.0,Put,Bearish,46.1,Choppy,0.975,0.9,1.05,0.93,-0.02,12.26,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
